uid,email,first_name,last_name,password,created
1,raymond.chen@gmail.com,Raymond,Chen,RayraYOG,2020-02-08
2,jeffrey.luo@gmail.com,Jeffrey,Luo,jeffluojeffLu0,2020-02-09
3,luke.qin@gmail.com,Luke,Qin,mEEstuhchE33n,2020-02-10
4,sachin.jaishankar@gmail.com,Sachin,Jaishankar,sachjaish420,2020-02-11
5,shrey.gupta@gmail.com,Shrey,Gupta,shrekg00pta,2020-02-12
6,lebron.james@gmail.com,LeBron,James,leJONBrames,2020-02-13
7,edgardy.reyes@gmail.com,Edgardy,Reyes,meesterINFP123,2020-02-14
8,jeff.bezos@gmail.com,Jeff,Bezos,AllergicAmaz0n,2020-02-15
9,mark.zuckerberg@gmail.com,Mark,Zuckerberg,faceb00ksuX,2020-02-16
10,bill.gates@gmail.com,Bill,Gates,mel1nda33,2020-02-17
11,warren.buffett@gmail.com,Warren,Buffett,B0rkshireH4th,2020-02-18
12,vincent.price@gmail.com,Vincent,Price,D00kd00k,2020-02-19
13,elon.musk@gmail.com,Elon,Musk,myName1sN0tNIKOLA,2020-02-20
14,walt.disney@gmail.com,Walt,Disney,DidneyStates0fAmerikka,2020-02-21
15,donaldjtrump@gmail.com,Donald,Trump,ThegreatestpasswordEVER,2020-02-22
16,carole.baskins@gmail.com,Carole,Baskins,T1G3Rmom123,2020-02-23
17,tombrady12@gmail.com,Tom,Brady,PATS2BUCS,2020-02-24
18,john.lennon@gmail.com,John,Lennon,B3stB33tle,2020-02-25
19,mccartney_paul@gmail.com,Paul,McCartney,F4KedD3Ath,2020-02-26
20,ringo@gmail.com,Ringo,Starr,R1ng0o0o0o,2020-02-27
21,george.harrison@gmail.com,George,Harrison,j0rGEHarrison,2020-02-28
